Monoid ID,Order of Group of Units,Magma Output
"[ 4, 7 ]",4,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 24 ]",1,"Loading ""temp_script.magma""
1
1"
"[ 4, 28 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 32 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 37 ]",4,"Loading ""temp_script.magma""
1
1
3/4"
"[ 4, 40 ]",1,"Loading ""temp_script.magma""
1
1"
"[ 4, 48 ]",2,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 50 ]",2,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 51 ]",2,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 68 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 71 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 75 ]",1,"Loading ""temp_script.magma""
1
1"
"[ 4, 78 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 83 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 89 ]",1,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 91 ]",1,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 94 ]",2,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 95 ]",2,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 96 ]",2,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 105 ]",1,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 107 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 114 ]",1,"Loading ""temp_script.magma""
1
1
1
1"
"[ 4, 116 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 118 ]",1,"Loading ""temp_script.magma""
1
1
1"
"[ 4, 121 ]",1,"Loading ""temp_script.magma""
1
1"
"[ 4, 124 ]",3,"Loading ""temp_script.magma""
1
1
2/3"
"[ 4, 125 ]",1,"Loading ""temp_script.magma""
1
1
2/3"
